,Forecasted Sales
2011-12-10,68548.86466851816
2011-12-11,78581.30422327212
2011-12-12,74664.92056451451
2011-12-13,76410.62917528271
2011-12-14,64260.862449109976
2011-12-15,61852.28991754266
2011-12-16,69712.7505553488
2011-12-17,71389.30107509783
2011-12-18,71242.77098024661
2011-12-19,69852.87984809764
2011-12-20,67399.15677465193
2011-12-21,67882.82469131435
2011-12-22,69415.71970007951
2011-12-23,69798.16198980852
2011-12-24,69634.63189799988
2011-12-25,69056.27666840945
2011-12-26,68670.54600003039
2011-12-27,68924.98224813916
2011-12-28,69245.38989399241
2011-12-29,69314.62509875002
2011-12-30,69217.5082211326
2011-12-31,69061.69946016296
2012-01-01,69019.75252818553
2012-01-02,69100.74227455597
2012-01-03,69168.97792914354
2012-01-04,69173.46092640754
2012-01-05,69137.13205247084
2012-01-06,69102.77946375983
2012-01-07,69103.88907373563
2012-01-08,69126.32852467944
